"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.46,0.45,0.44,0.07,0.14,0.13,0.12,0.06
"2",0.34,0.33,0.33,0.05,0.1,0.09,0.08,0.06
"3",0.28,0.27,0.27,0.03,0.08,0.07,0.07,0.04
"4",0.24,0.23,0.23,0.03,0.07,0.06,0.06,0.08
"5",0.49,0.46,0.45,0.06,0.18,0.15,0.14,0.08
"6",0.36,0.34,0.33,0.05,0.12,0.1,0.1,0.07
"7",0.29,0.27,0.27,0.03,0.1,0.09,0.08,0.03
"8",0.25,0.23,0.23,0.03,0.09,0.08,0.07,0.09
"9",0.52,0.48,0.46,0.06,0.22,0.18,0.16,0.04
"10",0.38,0.34,0.33,0.06,0.15,0.13,0.12,0.05
"11",0.31,0.28,0.28,0.03,0.13,0.11,0.1,0.03
"12",0.26,0.24,0.23,0.03,0.11,0.09,0.09,0.06
