"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.24,0.18,0.23,0.03,0.13,0.11,0.11,0.09
"2",0.19,0.09,0.19,0.25,0.09,0.08,0.08,0.08
"3",0.19,0.07,0.19,0.43,0.08,0.07,0.07,0.04
"4",0.18,0.06,0.18,0.99,0.07,0.06,0.06,0.1
"5",0.35,0.24,0.34,0.05,0.17,0.14,0.13,0.09
"6",0.33,0.13,0.33,0.85,0.12,0.1,0.09,0.09
"7",0.32,0.09,0.32,0.99,0.1,0.08,0.08,0.03
"8",0.32,0.07,0.32,1,0.09,0.07,0.07,0.1
"9",0.48,0.32,0.47,0.1,0.21,0.17,0.16,0.07
"10",0.46,0.16,0.46,0.98,0.15,0.12,0.12,0.07
"11",0.46,0.12,0.46,1,0.13,0.11,0.1,0.04
"12",0.46,0.09,0.46,1,0.11,0.09,0.09,0.06
