"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.65,0.64,0.63,0.02,0.21,0.16,0.2,0.17
"2",0.48,0.47,0.47,0,0.19,0.09,0.19,0.43
"3",0.42,0.41,0.41,0,0.18,0.08,0.18,0.62
"4",0.36,0.35,0.35,0,0.18,0.06,0.18,1
"5",0.67,0.65,0.64,0.03,0.34,0.24,0.33,0.24
"6",0.49,0.48,0.47,0,0.33,0.13,0.33,0.87
"7",0.43,0.42,0.41,0,0.32,0.11,0.32,0.99
"8",0.37,0.36,0.35,0,0.32,0.08,0.32,1
"9",0.69,0.67,0.64,0.04,0.48,0.33,0.47,0.18
"10",0.51,0.49,0.48,0,0.47,0.18,0.47,0.95
"11",0.44,0.42,0.42,0,0.47,0.14,0.47,1
"12",0.38,0.36,0.36,0,0.47,0.11,0.47,1
