"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.47,0.46,0.45,0.07,0.14,0.12,0.12,0.04
"2",0.35,0.34,0.33,0.07,0.1,0.09,0.08,0.08
"3",0.27,0.26,0.26,0.04,0.08,0.07,0.07,0.08
"4",0.23,0.23,0.22,0.05,0.07,0.06,0.06,0.09
"5",0.5,0.47,0.45,0.09,0.17,0.15,0.14,0.03
"6",0.36,0.34,0.34,0.07,0.13,0.11,0.1,0.1
"7",0.28,0.26,0.26,0.04,0.11,0.09,0.09,0.07
"8",0.24,0.23,0.22,0.04,0.09,0.08,0.07,0.12
"9",0.53,0.49,0.46,0.06,0.22,0.18,0.16,0.02
"10",0.38,0.35,0.34,0.07,0.16,0.13,0.12,0.06
"11",0.3,0.27,0.27,0.03,0.13,0.11,0.1,0.07
"12",0.26,0.24,0.23,0.06,0.11,0.09,0.08,0.1
