"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.23,0.18,0.22,0.03,0.12,0.11,0.1,0.06
"2",0.19,0.09,0.19,0.28,0.09,0.08,0.08,0.08
"3",0.19,0.07,0.19,0.37,0.08,0.07,0.07,0.03
"4",0.18,0.06,0.18,0.99,0.07,0.06,0.06,0.1
"5",0.35,0.24,0.34,0.05,0.16,0.14,0.13,0.06
"6",0.32,0.12,0.32,0.89,0.12,0.1,0.1,0.07
"7",0.32,0.1,0.32,0.99,0.1,0.09,0.08,0.03
"8",0.32,0.07,0.32,1,0.09,0.07,0.07,0.1
"9",0.47,0.31,0.46,0.09,0.21,0.17,0.16,0.08
"10",0.46,0.16,0.46,0.97,0.15,0.12,0.12,0.06
"11",0.46,0.12,0.46,1,0.13,0.1,0.1,0.03
"12",0.46,0.09,0.46,1,0.11,0.09,0.08,0.08
